"Ca_processed_masked" "Cb_processed_masked" "HK_processed_masked" "β_processed_masked" "β+C_processed_masked" "β+γ+C_processed_masked" "γ_processed_masked" "γ+Ca_processed_masked" "γ+Cb_processed_masked" "γ+Cc-Cf_processed_masked"
"se" 0.349478512532081 0.37705244586096 0.323595505617978 0.340798900405758 0.193529387016702 0.208620350324739 0.328255818242172 0.197090023766738 0.250163149880357 0.33509353731671
"scilicet" 0.404084530115219 0.236191343444979 0.386516853932584 0.234416923207275 0.399680255795364 0.460539263924424 0.30612621251798 0.469537997797229 0.203937350445943 0.253053395421929
"dicit" 0.185660459782668 0.340058620984036 0.296629213483146 0.165692283070203 0.286086919937734 0.324083185724595 0.379891564931951 0.492725059416845 0.364368066130085 0.352425961660677
"que" 0.387702724840277 0.27176232890356 0.296629213483146 0.266425659709474 0.323951365223611 0.280784622449649 0.354073691587062 0.365196220508956 0.315423102023059 0.308517153322626
"nec" 0.229345273849178 0.284567883668649 0.548314606741573 0.217471121529641 0.269258277588456 0.401495768549498 0.250802198207502 0.417367109153093 0.318142266695671 0.285407254197335
"contra" 0.180199858024354 0.274608007740246 0.30561797752809 0.44718087760424 0.201943708191342 0.208620350324739 0.302437944897282 0.231870616196163 0.220252338481618 0.284251759241071
"magis" 0.387702724840277 0.338635781565693 0.269662921348315 0.399167772850943 0.193529387016702 0.208620350324739 0.165972042931435 0.197090023766738 0.247443985207744 0.272696809678426
"responsio" 0.109212035166275 0.32013886912723 0.0629213483146067 0.58180585759878 0.252429635239177 0.0223053204749721 0.276620071552392 0.0869514810735609 0.350772242767022 0.196434142564968
"tantum" 0.322175503740512 0.26749381064853 0.584269662921348 0.325735965581194 0.32815852581093 0.254543068949682 0.188101648655626 0.249260912410875 0.206656515118556 0.251897900465664
"fuit" 0.174739256266041 0.243305540536695 0.197752808988764 0.318204498168912 0.159872102318145 0.272912156399659 0.28030833917309 0.121732073502985 0.277354796606482 0.290029234022394
"ei" 0.278490689674002 0.190660482057995 0.170786516853933 0.294668662505531 0.307122722874332 0.2401102145247 0.221296057241913 0.324618862674628 0.301827278659996 0.225321516471581
"ideo" 0.092830229891334 0.241882701118352 0.161797752808989 0.269249959989079 0.252429635239177 0.229613593124713 0.162283775310737 0.266651208625587 0.301827278659996 0.256519880290723
"homo" 0.480532954731611 0.230499985771606 0.0539325842696629 0.2137053878235 0.151457781143506 0.271600078724661 0.313502747759377 0.104341777288273 0.198499021100718 0.266919334897103
